----------------Prefab----------------------
undles\UI\UIHelp.prefab   Help:\n1. Mouse Right Move\n2. R Reload Dll\n3. T Transfer Map
undles\UI\Arena\UIArenaMain.prefab   剩余人数:0
undles\UI\BattleDungeon\UIBattle.prefab   战场
undles\UI\BattleDungeon\UIBattle.prefab   任务
undles\UI\BattleDungeon\UIBattle.prefab   商店
undles\UI\BattleDungeon\UIBattleEnter.prefab   每天20:30-21:00开启
undles\UI\BattleDungeon\UIBattleEnter.prefab   1. 战场会把人随机分配到对应阵营中
undles\UI\BattleDungeon\UIBattleEnter.prefab   2. 在战场胜利的一方将获得奖励
undles\UI\BattleDungeon\UIBattleEnter.prefab   3.在战场中完成战场任务获得积分奖励
undles\UI\BattleDungeon\UIBattleEnter.prefab   获胜奖励
undles\UI\BattleDungeon\UIBattleEnter.prefab   进入战场
undles\UI\BattleDungeon\UIBattleEnter.prefab   猎魔阵营
undles\UI\BattleDungeon\UIBattleEnter.prefab   曙光阵营
undles\UI\BattleDungeon\UIBattleMain.prefab   对战
undles\UI\BattleDungeon\UIBattleMain.prefab   0
undles\UI\BattleDungeon\UIBattleMain.prefab   猎魔
undles\UI\BattleDungeon\UIBattleMain.prefab   曙光
undles\UI\BattleDungeon\UIBattleMain.prefab   自身已战胜0个玩家
undles\UI\BattleDungeon\UIBattleMain.prefab   倒计时:46分60秒
undles\UI\BattleDungeon\UIBattleMain.prefab   10
undles\UI\BattleDungeon\UIBattleRecruit.prefab   当前召唤人口:
undles\UI\BattleDungeon\UIBattleRecruit.prefab   战场初级士兵
undles\UI\BattleDungeon\UIBattleRecruit.prefab   10000000
undles\UI\BattleDungeon\UIBattleRecruit.prefab   99999
undles\UI\BattleDungeon\UIBattleRecruit.prefab   3
undles\UI\BattleDungeon\UIBattleRecruit.prefab   100金币
undles\UI\BattleDungeon\UIBattleRecruit.prefab   召唤怪物
undles\UI\BattleDungeon\UIBattleRecruit.prefab   免费:0分0秒
undles\UI\BattleDungeon\UIBattleShop.prefab   999
undles\UI\BattleDungeon\UIBattleShop.prefab   腰带
undles\UI\BattleDungeon\UIBattleShop.prefab   999999
undles\UI\BattleDungeon\UIBattleShop.prefab   购买
undles\UI\BattleDungeon\UIBattleShop.prefab   当前拥有数量:
undles\UI\BattleDungeon\UIBattleShop.prefab   -10
undles\UI\BattleDungeon\UIBattleShop.prefab   -1
undles\UI\BattleDungeon\UIBattleShop.prefab   +10
undles\UI\BattleDungeon\UIBattleShop.prefab   +1
undles\UI\BattleDungeon\UIBattleTask.prefab   疾风之刃
undles\UI\BattleDungeon\UIBattleTask.prefab   登陆游戏1次登陆游戏1次登陆游戏1次登陆游戏1次登陆游戏1次登陆游戏1次登陆游戏1次登陆游戏1次登陆游戏1次登陆游戏1次
undles\UI\BattleDungeon\UIBattleTask.prefab   活跃度 +5
undles\UI\BattleDungeon\UIBattleTask.prefab   领取奖励
undles\UI\BattleDungeon\UIBattleTask.prefab   进度值:  0/1
undles\UI\BattleDungeon\UIBattleTask.prefab   已领取
undles\UI\BattleDungeon\UIBattleTask.prefab   已完成
undles\UI\BattleDungeon\UIBattleTask.prefab   +99999
undles\UI\Blood\UIDropItem.prefab   111
undles\UI\Blood\UIEnergyTable.prefab   幸福的瞬间
undles\UI\Blood\UIEnergyTable.prefab   概率
undles\UI\Blood\UIMonsterHp.prefab   99
undles\UI\Blood\UIMonsterHp.prefab   重生剩余时间:
undles\UI\Blood\UINpcLocal.prefab   商人名称
undles\UI\Blood\UINpcLocal.prefab   1111
undles\UI\Blood\UINpcName.prefab   学习制造
undles\UI\Blood\UISceneItem.prefab   场景物
undles\UI\Blood\UIStallIem.prefab   商品摊位
undles\UI\Blood\UITransfer.prefab   11
undles\UI\Blood\UIUnitHp.prefab   玩的名称七个字
undles\UI\Blood\UIUnitHp.prefab   说话内容。。。。。。。。。。。。
undles\UI\CellDungeon\UICellChapterOpen.prefab   下一区域已开放
undles\UI\CellDungeon\UICellDungeonCell.prefab   关卡地图
undles\UI\CellDungeon\UICellDungeonEnterShow.prefab   普通模式
undles\UI\CellDungeon\UICellDungeonEnterShow.prefab   关卡名称
undles\UI\CellDungeon\UICellDungeonEnterShow.prefab   神秘领主出现！
undles\UI\CellDungeon\UICellDungeonItem.prefab   洛兰深处
undles\UI\CellDungeon\UICellDungeonItem.prefab   挑战等级:10级
undles\UI\CellDungeon\UICellDungeonItem.prefab   消耗体力：5
undles\UI\CellDungeon\UICellDungeonItem.prefab   开始冒险
undles\UI\CellDungeon\UICellDungeonRevive.prefab   返回
undles\UI\CellDungeon\UICellDungeonRevive.prefab   再次挑战
undles\UI\CellDungeon\UICellDungeonRevive.prefab   10秒后退出副本
undles\UI\CellDungeon\UICellDungeonRevive.prefab   挑战石
undles\UI\CellDungeon\UICellDungeonRevive.prefab   勇士请重整旗鼓,重新再来!
undles\UI\CellDungeon\UICellDungeonRevive.prefab   返回主城
undles\UI\CellDungeon\UICellDungeonSelect.prefab   进入条件
undles\UI\CellDungeon\UICellDungeonSelect.prefab   选择难度
undles\UI\CellDungeon\UICellDungeonSelect.prefab   进入副本
undles\UI\CellDungeon\UICellDungeonSelect.prefab   第一章   洛兰森林
undles\UI\CellDungeon\UICellDungeonSelect.prefab   (冒险进度：0/7)
undles\UI\CellDungeon\UICellDungeonSettlement.prefab   继续挑战
undles\UI\CellDungeon\UICellDungeonSettlement.prefab   成功击杀领主
undles\UI\CellDungeon\UICellDungeonSettlement.prefab   收到低于总生命30%的伤害
undles\UI\CellDungeon\UICellDungeonSettlement.prefab   通关奖励
undles\UI\CellDungeon\UICellDungeonSettlement.prefab   经验+
undles\UI\CellDungeon\UICellDungeonSettlement.prefab   金币+
undles\UI\CellDungeon\UICellDungeonSettlement.prefab   挑战时间少于5分钟
undles\UI\CellDungeon\UICellDungeonSettlement.prefab   月卡奖励
undles\UI\CellDungeon\UICellDungeonSettlement.prefab   挑战成功
undles\UI\CellDungeon\UICellDungeonSettlement.prefab   9999
undles\UI\CellDungeon\UICellDungeonSettlement.prefab   选择剩余时间:10秒
undles\UI\Common\UICommonHuoBiSet.prefab   99999999999
undles\UI\Common\UICommonHuoBiSet.prefab   Button
undles\UI\Common\UILoading.prefab   0%
undles\UI\Common\UILoading.prefab   正在加载数据中
undles\UI\Common\UITips.prefab   我是一个提示框
undles\UI\Common\UI_CommonHint.prefab   系统提示
undles\UI\Common\UI_CommonHint.prefab   是否花费800钻石重置您的技能？
undles\UI\Common\UI_CommonHint.prefab   确 定
undles\UI\Common\UI_CommonHint.prefab   取 消
undles\UI\Common\UI_CommonHintlTips_1.prefab   陨石坠落
undles\UI\Common\UI_CommonHintlTips_1.prefab   从天降下燃烧的陨石，对击中的区域造成300点伤害，并且对地面产生灼烧效果，持续9秒.
undles\UI\Common\UI_Common_ItemIconShow.prefab   100
undles\UI\CreateRole\UICreateRole.prefab   角色名称
